http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8521_2	BEEF, 15-18 MONTHS, FATTY CUTS,without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8654_2	BEEF, 15-18 MONTHS, fesa, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8655_2	BEEF, 15-18 MONTHS, fillet, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8663_2	BEEF, 15-18 MONTHS, flank, "biancostato", brisket, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8653_2	BEEF, 15-18 MONTHS, fore rib, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8799_2	BEEF, 15-18 MONTHS, FRONT CUTS, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8522_2	BEEF, 15-18 MONTHS, LEAN AND FATTY CUTS, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8520_2	BEEF, 15-18 MONTHS, LEAN CUTS, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1003_2	BEEF, 15-18 MONTHS, LEAN MEAT, with visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8664_2	BEEF, 15-18 MONTHS, shoulder, muscle, "girello, fesone", without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=805249_2	BEEF, BLOOD
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1299_2	BEEF, BONE MARROW
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1201_2	BEEF, BRAIN
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1100_2	BEEF, CANNED, jellied
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1203_2	BEEF, HEART
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1208_2	BEEF, KIDNEY
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1204_2	BEEF, LIVER
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1207_2	BEEF, LUNG
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1206_2	BEEF, SPLEEN
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1205_2	BEEF, TONGUE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=700342_2	BEEF, TONGUE, canned (prepared with species)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1209_2	BEEF, TRIPE
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8020_2	BEEF, VEAL, 4 MONTHS, FAT AND LEAN MEAT, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1006_2	BEEF, VEAL, 4 MONTHS, LEAN MEAT, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=4001_2	BEER, LIGHT ALE (5.3 - 6.0 %vol)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8056_2	BEER, LIGHT ALE DOUBLE MALT (6.2 - 12.0 % vol)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8063_2	BEER, MILD or LIGHT (2.5 - 3.4 %vol)
